company,date,close
OCBC,1/12/2023,13
OCBC,1/1/2023,12.93
UOB,2/1/2023,30.84
UOB,25/12/2023,28.45
3M,1/10/2022,94.28253937
3M,1/10/2016,102.804306
3M,1/6/2022,96.01052094
3M,1/3/2024,86.71217346
3M,1/8/2018,136.8442688
3M,1/6/2019,115.7595596
3M,1/12/2020,123.240036
3M,1/9/2016,109.6019363
3M,1/12/2016,111.7692261
3M,1/4/2015,93.46461487
3M,1/10/2024,127.1631012
3M,1/1/2018,160.4734344
3M,1/6/2018,127.6313324
3M,1/1/2019,131.7185059
3M,1/8/2019,107.9995651
3M,1/10/2019,111.1915359
3M,1/5/2021,144.3380737
3M,1/10/2021,128.9323883
3M,1/12/2015,91.82736969
3M,1/12/2017,150.7809296
3M,1/1/2017,109.4220886
3M,1/8/2016,110.7836304
3M,1/6/2023,78.07211304
3M,1/10/2015,95.20679474
3M,1/11/2022,94.41746521
3M,1/2/2022,108.1361923
3M,1/7/2020,104.2339401
3M,1/5/2018,127.0929947
3M,1/7/2018,137.7525635
3M,1/12/2019,119.9238892
3M,1/3/2017,120.5357819
3M,1/3/2021,136.9733276
3M,1/2/2021,123.4303894
3M,1/4/2017,123.3707504
3M,1/2/2025,154.3585815
3M,1/7/2024,125.5755081
3M,1/9/2019,110.7939301
3M,1/11/2021,122.6979065
3M,1/8/2022,92.25645447
3M,1/7/2015,91.01847839
3M,1/3/2018,141.4565125
3M,1/4/2016,102.768959
3M,1/5/2017,128.8138733
3M,1/8/2015,85.48544312
3M,1/9/2023,74.11750031
3M,1/12/2023,87.90888214
3M,1/2/2019,136.3809967
3M,1/5/2022,109.6515656
3M,1/12/2018,125.3002777
3M,1/9/2015,85.8562851
3M,1/2/2024,74.07764435
3M,1/2/2023,81.69922638
3M,1/4/2023,81.61306
3M,1/6/2021,142.2421417
3M,1/3/2022,109.3504333
3M,1/3/2020,93.63484192
3M,1/6/2017,131.9407349
3M,1/9/2018,137.6243286
3M,1/4/2022,105.9277115
3M,1/4/2019,125.4845352
3M,1/3/2019,137.582077
3M,1/5/2019,105.7788773
3M,1/5/2023,71.69378662
3M,1/1/2020,107.8512497
3M,1/4/2020,104.204834
3M,1/5/2020,107.3051987
3M,1/10/2020,111.8164749
3M,1/1/2021,123.8534317
3M,1/2/2018,150.870636
3M,1/1/2022,120.7720871
3M,1/8/2024,132.6049805
3M,1/3/2023,80.7602005
3M,1/11/2023,78.43218231
3M,1/6/2024,100.6080856
3M,1/1/2025,151.4529114
3M,1/12/2024,128.4563446
3M,1/10/2017,146.7223663
3M,1/7/2017,127.4918518
3M,1/9/2022,82.82234192
3M,1/12/2022,90.9352951
3M,1/4/2024,94.36066437
3M,1/5/2015,95.07225037
3M,1/5/2016,103.3461075
3M,1/8/2017,129.4881287
3M,1/11/2016,106.809494
3M,1/2/2017,116.6388397
3M,1/8/2023,83.20464325
3M,1/6/2016,108.2371674
3M,1/1/2016,92.04681396
3M,1/2/2016,95.62506866
3M,1/9/2024,135.3093719
3M,1/6/2015,92.79867554
3M,1/11/2015,94.82526398
3M,1/1/2024,75.87088013
3M,1/7/2021,141.7480469
3M,1/9/2020,111.9702606
3M,1/11/2017,154.9766846
3M,1/1/2023,87.26512146
3M,1/8/2021,139.4564667
3M,1/9/2017,133.7896271
3M,1/3/2016,102.3084869
3M,1/7/2016,110.2397156
3M,1/11/2024,132.1716156
3M,1/5/2024,97.90981293
3M,1/10/2023,72.00370026
3M,1/7/2023,86.97213745
3M,1/4/2021,140.1438446
3M,1/7/2022,106.2711258
3M,1/12/2021,129.2178345
3M,1/9/2021,126.58004
3M,1/6/2020,108.0577545
3M,1/11/2019,114.4128952
3M,1/11/2020,120.7430573
3M,1/2/2020,101.4478989
3M,1/7/2019,116.6811676
3M,1/11/2018,135.8020782
3M,1/3/2025,150.4100037
3M,1/10/2018,124.2674713
3M,1/4/2018,125.2629852
3M,1/8/2020,112.9276047
ANZ,31/10/2019,18.31216812
ANZ,31/5/2019,20.79654694
ANZ,31/3/2019,19.4686451
ANZ,29/2/2020,12.89601707
ANZ,30/6/2018,20.3533287
ANZ,30/6/2019,20.57538605
ANZ,30/6/2015,18.9745369
ANZ,30/6/2020,13.65639305
ANZ,31/7/2017,19.31901932
ANZ,28/2/2018,18.12812233
ANZ,30/9/2023,22.51400566
ANZ,31/3/2017,20.96503067
ANZ,30/4/2023,20.1926651
ANZ,31/3/2023,21.4525013
ANZ,31/8/2019,21.02507973
ANZ,28/2/2021,22.11789131
ANZ,31/1/2024,26.93394089
ANZ,31/8/2023,23.37957764
ANZ,31/12/2023,25.75054932
ANZ,30/11/2023,24.53875923
ANZ,31/1/2017,19.77470589
ANZ,29/2/2024,27.8333149
ANZ,31/1/2025,29.79000092
ANZ,30/6/2021,22.31181717
ANZ,31/8/2015,15.72308254
ANZ,31/12/2015,14.55825806
ANZ,31/1/2016,13.48656082
ANZ,30/9/2015,15.79856396
ANZ,31/7/2015,16.21660805
ANZ,31/12/2024,30.62000084
ANZ,31/8/2016,17.18219948
ANZ,30/11/2024,28.54000092
ANZ,30/9/2024,30.35618782
ANZ,31/10/2016,17.6672554
ANZ,31/10/2024,30.37567711
ANZ,30/6/2024,28.30970192
ANZ,31/3/2016,14.61244774
ANZ,31/7/2024,29.62529945
ANZ,31/3/2015,19.22098351
ANZ,28/2/2025,28.69000053
ANZ,30/4/2016,15.3409586
ANZ,31/8/2024,29.70326042
ANZ,31/7/2019,19.71285629
ANZ,31/5/2023,21.60287476
ANZ,31/10/2018,18.6166954
ANZ,31/3/2018,18.1146183
ANZ,31/8/2017,19.45043945
ANZ,30/4/2024,26.74459648
ANZ,31/7/2018,20.49225807
ANZ,30/4/2015,18.76859856
ANZ,31/1/2022,21.47999382
ANZ,31/12/2017,19.28896332
ANZ,31/1/2023,21.7168026
ANZ,30/9/2022,21.86503983
ANZ,30/6/2022,19.589571
ANZ,31/10/2022,21.16357994
ANZ,31/5/2022,18.69620514
ANZ,28/2/2022,22.79307365
ANZ,30/11/2017,19.39695168
ANZ,31/8/2022,19.50402641
ANZ,31/3/2022,22.54532623
ANZ,31/8/2018,19.57531548
ANZ,31/10/2017,18.70133591
ANZ,31/7/2022,19.5296917
ANZ,30/4/2018,18.3643322
ANZ,30/9/2017,19.6607151
ANZ,30/4/2022,20.67893219
ANZ,30/9/2018,18.01234436
ANZ,30/6/2023,23.46157837
ANZ,31/5/2018,19.61699295
