Company,E_Score,S_Score,G_Score,Final_ESG_Score
(LEED,,,1.11,1.11
A,,,1.11,1.11
AFFORDABLE,,,1.11,1.11
C,,,1.11,1.11
DEI,,1.46,0.0,1.46
EPA,,,1.11,1.11
ESRS,,,1.11,1.11
FY,,,1.11,1.11
KPI,,,1.11,1.11
LG,0.0,,0.0,0.0
MU,0.0,,0.0,0.0
OY,,,1.11,1.11
SR2023,,,1.11,1.11
SUSTAINABLE,,,1.11,1.11
TWINATRUCKS,0.01,,0.0,0.01
Unknown,0.83,0.96,0.77,1.03
